#,Paper_ID,R1_Rec,R1_Length,R1_Conf,R2_Rec,R2_Length,R2_Conf,R3_Rec,R3_Length,R3_Conf,MR_Length,Decision
82,S1fcY-Z0-,6,248,4,6,438,4,6,316,4,199,Reject
83,Bki4EfWCb,6,298,5,6,698,5,6,567,4,153,Invite to Workshop Track
84,SktLlGbRZ,5,463,5,5,605,5,9,98,5,111,Reject
85,S1Dh8Tg0-,6,690,4,6,424,5,6,143,3,12,Accept (Poster)
86,ryBnUWb0b,6,494,4,7,443,5,6,57,3,31,Accept (Poster)
87,SkZxCk-0Z,7,257,3,7,676,3,4,293,4,82,Accept (Poster)
88,S1Euwz-Rb,7,602,4,7,621,3,6,353,4,248,Accept (Poster)
89,SyXNErg0W,4,486,4,6,167,3,4,33,5,100,Reject
90,S1TgE7WR-,5,553,3,5,121,2,6,281,3,154,Invite to Workshop Track
91,H1eJxngCW,7,619,3,7,159,4,6,253,4,73,Invite to Workshop Track
92,B1hYRMbCW,7,702,4,2,696,2,6,168,5,85,Accept (Poster)
93,H1AdTAxC-,3,264,3,4,1428,4,5,184,4,70,Reject
94,ry018WZAZ,6,101,3,6,282,4,7,209,4,34,Accept (Poster)
95,SyunbfbAb,6,476,4,6,444,3,6,534,4,99,Invite to Workshop Track
96,BJE-4xW0W,6,379,3,7,1241,3,9,62,3,151,Accept (Poster)
97,HyPpD0g0Z,7,437,3,4,352,5,5,273,4,65,Reject
98,S1GDXzb0b,7,754,3,4,146,4,3,594,5,38,Reject
99,HkGJUXb0-,5,607,4,5,104,4,6,183,3,113,Invite to Workshop Track
100,HJnQJXbC-,6,304,5,6,185,4,4,541,5,112,Reject
101,ry6-G_66b,6,881,4,8,262,5,7,517,4,66,Accept (Poster)
102,HJJ23bW0b,4,447,5,8,342,4,7,260,2,64,Accept (Poster)
103,H1VjBebR-,7,613,4,7,331,2,6,543,4,91,Accept (Poster)
104,HkMvEOlAb,6,314,5,7,201,4,7,123,3,58,Accept (Poster)
105,S1WRibb0Z,6,315,4,6,326,5,6,169,3,133,Accept (Poster)
106,B16yEqkCZ,5,726,4,5,134,5,7,310,3,59,Reject
107,Hk0wHx-RW,5,573,4,6,385,3,6,221,3,79,Accept (Poster)
108,ryepFJbA-,5,270,2,4,381,5,3,507,3,74,Reject
109,Syg-YfWCW,7,369,4,6,253,4,5,507,4,25,Accept (Poster)
110,rkMt1bWAZ,5,488,2,7,203,5,5,396,5,120,Reject
111,HJ4IhxZAb,6,347,3,7,128,4,6,338,4,154,Reject
112,ByRWCqvT-,7,796,4,5,239,4,9,158,5,106,Accept (Poster)
113,SkJd_y-Cb,5,381,5,4,155,4,4,338,4,85,Reject
114,H1BO9M-0Z,4,610,4,5,358,4,3,390,4,41,Reject
115,HJewuJWCZ,8,734,4,9,533,3,5,298,4,93,Accept (Poster)
116,S1XolQbRW,7,391,2,6,150,4,8,335,5,62,Accept (Poster)
117,HyN-ZvlC-,5,592,4,7,104,5,5,445,5,41,Reject
118,BkUDW_lCb,4,187,4,3,442,4,7,222,4,105,Reject
119,rkaqxm-0b,4,265,4,5,657,4,7,933,4,89,Reject
120,SkRsFSRpb,5,837,2,4,803,4,5,115,4,26,Invite to Workshop Track
121,B1al7jg0b,7,207,5,7,543,3,7,356,3,76,Accept (Poster)
122,rJGZq6g0-,7,140,3,7,583,4,7,119,4,64,Accept (Poster)
123,S1vuO-bCW,7,248,4,6,449,5,5,514,4,164,Accept (Poster)
124,rJL6pz-CZ,5,218,4,4,497,4,4,625,4,57,Reject
125,Sk6fD5yCb,6,284,3,7,208,4,7,85,1,56,Accept (Poster)
126,ry8dvM-R-,7,245,3,6,1022,3,8,175,4,32,Accept (Poster)
127,r1SnX5xCb,8,1584,4,6,294,3,7,313,4,14,Accept (Poster)
128,S1J2ZyZ0Z,6,579,3,7,851,4,7,527,4,9,Accept (Poster)
129,SyxCqGbRZ,6,1147,3,3,120,4,4,342,4,157,Reject
130,ryacTMZRZ,6,1194,4,4,208,4,8,103,3,150,Reject
131,H1q-TM-AW,8,311,4,7,362,4,7,163,2,25,Accept (Poster)
132,rkpoTaxA-,7,381,4,7,240,3,7,311,5,112,Accept (Poster)
133,ryALZdAT-,6,331,3,6,45,2,6,335,4,128,Invite to Workshop Track
134,HkwZSG-CZ,7,248,5,7,481,4,8,222,4,83,Accept (Oral)
135,rypT3fb0b,6,253,3,8,600,5,7,441,4,83,Accept (Poster)
136,ByJIWUnpW,6,463,3,6,578,4,8,210,4,234,Accept (Poster)
137,BkIkkseAZ,4,519,5,7,559,5,7,168,4,70,Reject
138,BJk7Gf-CZ,5,169,5,7,257,4,8,144,5,43,Accept (Poster)
139,B1DmUzWAW,7,336,4,6,355,3,6,541,3,91,Accept (Poster)
140,rJfHoM-C-,4,570,4,4,238,4,6,258,4,49,Reject
141,rk07ZXZRb,7,242,4,7,200,4,7,295,5,68,Accept (Poster)
142,B13njo1R-,7,330,4,7,267,4,5,569,3,90,Accept (Poster)
143,SJJQVZW0b,6,509,4,6,555,3,6,251,3,53,Accept (Poster)
144,BkXmYfbAZ,7,613,4,6,234,3,7,353,4,53,Accept (Poster)
145,ByJWeR1AW,5,226,4,5,1150,4,5,241,4,57,Reject
146,r1Kr3TyAb,4,264,4,1,885,5,4,443,5,149,Reject
147,B1bgpzZAZ,5,137,3,5,383,3,4,229,4,163,Reject
148,rJJzTyWCZ,4,167,4,7,498,4,4,254,4,77,Reject
